,season,episode,audience
0,1,1,2.22
1,1,2,2.2
2,1,3,2.44
3,1,4,2.45
4,1,5,2.58
5,1,6,2.44
6,1,7,2.4
7,1,8,2.72
8,1,9,2.66
9,1,10,3.04
10,2,1,3.86
11,2,2,3.76
12,2,3,3.77
13,2,4,3.65
14,2,5,3.9
15,2,6,3.88
16,2,7,3.69
17,2,8,3.86
18,2,9,3.38
19,2,10,4.2
20,3,1,4.37
21,3,2,4.27
22,3,3,4.72
23,3,4,4.87
24,3,5,5.35
25,3,6,5.5
26,3,7,4.84
27,3,8,5.13
28,3,9,5.22
29,3,10,5.39
30,4,1,6.64
31,4,2,6.31
32,4,3,6.59
33,4,4,6.95
34,4,5,7.16
35,4,6,6.4
36,4,7,7.2
37,4,8,7.17
38,4,9,6.95
39,4,10,7.09
40,5,1,8.0
41,5,2,6.81
42,5,3,6.71
43,5,4,6.82
44,5,5,6.56
45,5,6,6.24
46,5,7,5.4
47,5,8,7.01
48,5,9,7.14
49,5,10,8.11
50,6,1,7.94
51,6,2,7.29
52,6,3,7.28
53,6,4,7.82
54,6,5,7.89
55,6,6,6.71
56,6,7,7.8
57,6,8,7.6
58,6,9,7.66
59,6,10,8.89
60,7,1,10.11
61,7,2,9.27
62,7,3,9.25
63,7,4,10.17
64,7,5,10.72
65,7,6,10.24
66,7,7,12.07
67,8,1,11.76
68,8,2,10.29
69,8,3,12.02
70,8,4,11.8
71,8,5,12.48
72,8,6,13.61
